wavelength_um,intensity_MW_sr-1_m-2_nm-1
2.072072072072071780e+00,2.245352632828772068e+06
2.078078078078078317e+00,2.219507116213479079e+06
2.084084084084083965e+00,2.194032405840746127e+06
2.090090090090090058e+00,2.168922136030157097e+06
2.096096096096095707e+00,2.144170068231196608e+06
2.102102102102102243e+00,2.119770088129875716e+06
2.108108108108107892e+00,2.095716202829238726e+06
2.114114114114113985e+00,2.072002538101632148e+06
2.120120120120120077e+00,2.048623335710750893e+06
2.126126126126126170e+00,2.025572950801475672e+06
2.132132132132131819e+00,2.002845849355590995e+06
2.138138138138137911e+00,1.980436605711568613e+06
2.144144144144144448e+00,1.958339900146606611e+06
2.150150150150150097e+00,1.936550516519208904e+06
2.156156156156156189e+00,1.915063339970601723e+06
2.162162162162161838e+00,1.893873354683390120e+06
2.168168168168168375e+00,1.872975641695853090e+06
2.174174174174174023e+00,1.852365376770361792e+06
2.180180180180180116e+00,1.832037828314413084e+06
2.186186186186186209e+00,1.811988355352869025e+06
2.192192192192192302e+00,1.792212405549988849e+06
2.198198198198197950e+00,1.772705513279888779e+06
2.204204204204204043e+00,1.753463297744138166e+06
2.210210210210210136e+00,1.734481461135200923e+06
2.216216216216216228e+00,1.715755786844491027e+06
2.222222222222221877e+00,1.697282137713833712e+06
2.228228228228227970e+00,1.679056454329176107e+06
2.234234234234234062e+00,1.661074753355413675e+06
2.240240240240240155e+00,1.643333125911235344e+06
2.246246246246246248e+00,1.625827735982909100e+06
2.252252252252252340e+00,1.608554818875995930e+06
2.258258258258258433e+00,1.591510679703975096e+06
2.264264264264264082e+00,1.574691691912794951e+06
2.270270270270270174e+00,1.558094295840428444e+06
2.276276276276276267e+00,1.541714997310489416e+06
2.282282282282282360e+00,1.525550366259033093e+06
2.288288288288288008e+00,1.509597035393658793e+06
2.294294294294294101e+00,1.493851698884086916e+06
2.300300300300300194e+00,1.478311111083380878e+06
2.306306306306306286e+00,1.462972085279031191e+06
2.312312312312311935e+00,1.447831492473107530e+06
2.318318318318318472e+00,1.432886260190753033e+06
2.324324324324324120e+00,1.418133371316281846e+06
2.330330330330330213e+00,1.403569862956157885e+06
2.336336336336336306e+00,1.389192825328191044e+06
2.342342342342342398e+00,1.374999400676263031e+06
2.348348348348348491e+00,1.360986782209941652e+06
2.354354354354354140e+00,1.347152213068339042e+06
2.360360360360360232e+00,1.333492985307618277e+06
2.366366366366366325e+00,1.320006438911532052e+06
2.372372372372372418e+00,1.306689960824428592e+06
2.378378378378378066e+00,1.293540984006140148e+06
2.384384384384384603e+00,1.280556986508224159e+06
2.390390390390390252e+00,1.267735490571017144e+06
2.396396396396396344e+00,1.255074061740968609e+06
2.402402402402401993e+00,1.242570308007771848e+06
2.408408408408408530e+00,1.230221878960779402e+06
2.414414414414414178e+00,1.218026464964243118e+06
2.420420420420420271e+00,1.205981796350893797e+06
2.426426426426426364e+00,1.194085642633427866e+06
2.432432432432432456e+00,1.182335811733449111e+06
2.438438438438438549e+00,1.170730149227439892e+06
2.444444444444444198e+00,1.159266537609339226e+06
2.450450450450450735e+00,1.147942895569336601e+06
2.456456456456456383e+00,1.136757177288473817e+06
2.462462462462462476e+00,1.125707371748670936e+06
2.468468468468468124e+00,1.114791502057811478e+06
2.474474474474474661e+00,1.104007624789513182e+06
2.480480480480480310e+00,1.093353829337239964e+06
2.486486486486486402e+00,1.082828237282393733e+06
2.492492492492492051e+00,1.072429001776071033e+06
2.498498498498498588e+00,1.062154306934140390e+06
2.504504504504504236e+00,1.052002367245334201e+06
2.510510510510510329e+00,1.041971426992031746e+06
2.516516516516516422e+00,1.032059759683444048e+06
2.522522522522522515e+00,1.022265667500904761e+06
2.528528528528528607e+00,1.012587480754966964e+06
2.534534534534534256e+00,1.003023557354047080e+06
2.540540540540540793e+00,9.935722822843288304e+05
2.546546546546546441e+00,9.842320671006714692e+05
2.552552552552552534e+00,9.750013494282555766e+05
2.558558558558558182e+00,9.658785924747257959e+05
2.564564564564564719e+00,9.568622845525761368e+05
2.570570570570570368e+00,9.479509386115478119e+05
2.576576576576576461e+00,9.391430917807961814e+05
2.582582582582582553e+00,9.304373049206123687e+05
2.588588588588588646e+00,9.218321621834728867e+05
2.594594594594594295e+00,9.133262705841963179e+05
2.600600600600600387e+00,9.049182595790114719e+05
2.606606606606606480e+00,8.966067806533178082e+05
2.612612612612612573e+00,8.883905069179522106e+05
2.618618618618618221e+00,8.802681327137521002e+05
2.624624624624624314e+00,8.722383732242431724e+05
2.630630630630630851e+00,8.642999640962524572e+05
2.636636636636636499e+00,8.564516610682781320e+05
2.642642642642642592e+00,8.486922396064285422e+05
2.648648648648648685e+00,8.410204945477694273e+05
2.654654654654654777e+00,8.334352397509110160e+05
2.660660660660660426e+00,8.259353077536631608e+05
