wavelength_um,intensity_MW_sr-1_m-2_nm-1
3.159159159159159014e+00,1.783443504643955093e+05
3.165165165165165106e+00,1.772213727696070273e+05
3.171171171171170755e+00,1.761070842080286529e+05
3.177177177177177292e+00,1.750014057154735783e+05
3.183183183183182940e+00,1.739042590465960384e+05
3.189189189189189033e+00,1.728155667654983990e+05
3.195195195195194682e+00,1.717352522364566685e+05
3.201201201201201219e+00,1.706632396147580002e+05
3.207207207207207311e+00,1.695994538376540877e+05
3.213213213213212960e+00,1.685438206154241925e+05
3.219219219219219497e+00,1.674962664225494664e+05
3.225225225225225145e+00,1.664567184889960627e+05
3.231231231231231238e+00,1.654251047916051175e+05
3.237237237237236887e+00,1.644013540455899783e+05
3.243243243243243423e+00,1.633853956961362856e+05
3.249249249249249072e+00,1.623771599101075844e+05
3.255255255255255165e+00,1.613765775678508217e+05
3.261261261261260813e+00,1.603835802551041998e+05
3.267267267267267350e+00,1.593981002550033445e+05
3.273273273273272999e+00,1.584200705401861633e+05
3.279279279279279091e+00,1.574494247649939789e+05
3.285285285285285184e+00,1.564860972577689972e+05
3.291291291291291277e+00,1.555300230132454599e+05
3.297297297297296925e+00,1.545811376850340457e+05
3.303303303303303018e+00,1.536393775781985896e+05
3.309309309309309555e+00,1.527046796419228194e+05
3.315315315315315203e+00,1.517769814622677513e+05
3.321321321321321296e+00,1.508562212550161930e+05
3.327327327327326945e+00,1.499423378586054896e+05
3.333333333333333481e+00,1.490352707271459512e+05
3.339339339339339130e+00,1.481349599235246133e+05
3.345345345345345223e+00,1.472413461125924077e+05
3.351351351351351315e+00,1.463543705544350378e+05
3.357357357357357408e+00,1.454739750977248477e+05
3.363363363363363057e+00,1.446001021731538349e+05
3.369369369369369149e+00,1.437326947869458527e+05
3.375375375375375242e+00,1.428716965144485584e+05
3.381381381381381335e+00,1.420170514938020788e+05
3.387387387387386983e+00,1.411687044196842762e+05
3.393393393393393076e+00,1.403266005371323263e+05
3.399399399399399169e+00,1.394906856354387419e+05
3.405405405405405261e+00,1.386609060421209142e+05
3.411411411411411354e+00,1.378372086169635004e+05
3.417417417417417447e+00,1.370195407461330469e+05
3.423423423423423539e+00,1.362078503363630734e+05
3.429429429429429188e+00,1.354020858092096751e+05
3.435435435435435281e+00,1.346021960953755770e+05
3.441441441441441373e+00,1.338081306291029032e+05
3.447447447447447466e+00,1.330198393426336406e+05
3.453453453453453115e+00,1.322372726607357326e+05
3.459459459459459651e+00,1.314603814952953835e+05
